rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,average_cost_state,average_early_career,average_mid_career
7,Oklahoma City University,Oklahoma,OK,Private,4 Year,39922,39922,49700,87900,57,41,27925.26316,49368.42105,
9,Oral Roberts University,Oklahoma,OK,Private,4 Year,37178,37178,50200,89900,52,19,27925.26316,49368.42105,
16,Northeastern State University,Oklahoma,OK,Public,4 Year,14288,22358,50400,92900,45,9,27925.26316,49368.42105,
19,Oklahoma Baptist University,Oklahoma,OK,Private,4 Year,35608,35608,51300,99200,46,21,27925.26316,49368.42105,
1,University of Tulsa,Oklahoma,OK,Private,4 Year,52625,52625,51800,92500,52,21,27925.26316,49368.42105,
22,Rogers State University,Oklahoma,OK,Public,4 Year,15486,23826,52900,92700,48,12,27925.26316,49368.42105,
13,Southern Nazarene University,Oklahoma,OK,Private,4 Year,33684,33684,59700,110400,46,22,27925.26316,49368.42105,
23,University of Science and Arts of Oklahoma,Oklahoma,OK,Public,4 Year,13565,23915,60600,109900,52,6,27925.26316,49368.42105,
21,Mid-America Christian University,Oklahoma,OK,Private,4 Year,26370,26370,65000,116300,47,81,27925.26316,49368.42105,
3,University of Portland,Oregon,OR,Private,4 Year,59354,59354,39000,70700,74,11,45019.36842,51173.68421,
20,Western Oregon University,Oregon,OR,Public,4 Year,19955,36830,41700,76700,75,4,45019.36842,51173.68421,
17,Northwest Christian University,Oregon,OR,Private,4 Year,39350,39350,42300,77700,56,7,45019.36842,51173.68421,
21,Corban University,Oregon,OR,Private,4 Year,43268,43268,42500,77300,63,1,45019.36842,51173.68421,
23,Eastern Oregon University,Oregon,OR,Public,4 Year,18719,30779,44000,73900,56,5,45019.36842,51173.68421,
1,Oregon Health & Science University,Oregon,OR,Public,4 Year,19176,33666,45900,85100,59,8,45019.36842,51173.68421,
8,Pacific University,Oregon,OR,Private,4 Year,56826,56826,46300,85000,NA,0,45019.36842,51173.68421,
3,Reed College,Oregon,OR,Private,4 Year,70550,70550,47000,86100,50,23,45019.36842,51173.68421,
16,Southern Oregon University,Oregon,OR,Public,4 Year,22853,38783,47400,83400,49,8,45019.36842,51173.68421,
19,Marylhurst University,Oregon,OR,Private,4 Year,20835,20835,49000,84500,40,0,45019.36842,51173.68421,
13,George Fox University,Oregon,OR,Private,4 Year,47270,47270,49600,87000,48,19,45019.36842,51173.68421,
22,Multnomah University,Oregon,OR,Private,4 Year,34770,34770,53400,101900,43,20,45019.36842,51173.68421,
15,Pacific Northwest College of Art,Oregon,OR,Private,4 Year,51110,51110,54500,98100,53,20,45019.36842,51173.68421,
6,Willamette University,Oregon,OR,Private,4 Year,62514,62514,55700,100100,57,13,45019.36842,51173.68421,
10,Lewis & Clark College,Oregon,OR,Private,4 Year,63424,63424,56600,98900,53,21,45019.36842,51173.68421,
5,Oregon State University,Oregon,OR,Public,4 Year,24021,42996,61200,106800,60,27,45019.36842,51173.68421,
12,Portland State University,Oregon,OR,Public,4 Year,19533,37488,63800,117200,47,37,45019.36842,51173.68421,
2,Oregon Institute of Technology,Oregon,OR,Public,4 Year,19045,37114,65400,108300,79,10,45019.36842,51173.68421,
7,University of Oregon,Oregon,OR,Public,4 Year,24861,48441,67000,130500,45,28,45019.36842,51173.68421,
23,University of Scranton,Pennsylvania,PA,Private,4 Year,59714,59714,37300,67400,49,11,62044.05263,53647.36842,
8,University of the Sciences,Pennsylvania,PA,Private,4 Year,40938,40938,42300,74500,58,16,62044.05263,53647.36842,
18,Ursinus College,Pennsylvania,PA,Private,4 Year,64800,64800,44200,78000,56,3,62044.05263,53647.36842,
14,Saint Joseph's University,Pennsylvania,PA,Private,4 Year,59813,59813,46900,84300,60,2,62044.05263,53647.36842,
10,Haverford College,Pennsylvania,PA,Private,4 Year,70994,70994,48600,87100,55,14,62044.05263,53647.36842,
21,Widener University,Pennsylvania,PA,Private,4 Year,60394,60394,48700,87300,57,24,62044.05263,53647.36842,
17,Muhlenberg College,Pennsylvania,PA,Private,4 Year,64360,64360,50200,94100,50,11,62044.05263,53647.36842,
12,Gettysburg College,Pennsylvania,PA,Private,4 Year,67490,67490,50600,90800,47,18,62044.05263,53647.36842,
15,La Salle University,Pennsylvania,PA,Private,4 Year,45640,45640,50600,95400,45,24,62044.05263,53647.36842,
2,Lehigh University,Pennsylvania,PA,Private,4 Year,66530,66530,51500,98800,58,25,62044.05263,53647.36842,
3,University of Pennsylvania,Pennsylvania,PA,Private,4 Year,71200,71200,51800,95800,46,13,62044.05263,53647.36842,
7,Villanova University,Pennsylvania,PA,Private,4 Year,67328,67328,52400,93900,41,4,62044.05263,53647.36842,
24,Grove City College,Pennsylvania,PA,Private,4 Year,27700,27700,53400,96500,49,41,62044.05263,53647.36842,
6,Lafayette College,Pennsylvania,PA,Private,4 Year,68520,68520,55800,104800,40,5,62044.05263,53647.36842,
21,Dickinson College,Pennsylvania,PA,Private,4 Year,68359,68359,55800,100100,46,25,62044.05263,53647.36842,
9,Drexel University,Pennsylvania,PA,Private,4 Year,67358,67358,61700,114800,47,28,62044.05263,53647.36842,
5,Bucknell University,Pennsylvania,PA,Private,4 Year,69754,69754,66700,122900,40,40,62044.05263,53647.36842,
4,Swarthmore College,Pennsylvania,PA,Private,4 Year,68062,68062,74900,140700,53,32,62044.05263,53647.36842,
1,Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,69883,69883,75900,136100,45,66,62044.05263,53647.36842,
7,New England Institute of Technology,Rhode-Island,RI,Private,4 Year,43005,43005,45700,86400,43,24,53916.77778,55122.22222,
8,Roger Williams University,Rhode-Island,RI,Private,4 Year,50412,50412,46000,82900,59,12,53916.77778,55122.22222,
4,Rhode Island School of Design,Rhode-Island,RI,Private,4 Year,64360,64360,47200,83500,52,5,53916.77778,55122.22222,
6,Salve Regina University,Rhode-Island,RI,Private,4 Year,55050,55050,50400,89800,51,12,53916.77778,55122.22222,
3,Providence College,Rhode-Island,RI,Private,4 Year,65090,65090,52600,94900,56,19,53916.77778,55122.22222,
5,University of Rhode Island,Rhode-Island,RI,Public,4 Year,27088,43812,54200,101300,45,21,53916.77778,55122.22222,
2,Bryant University,Rhode-Island,RI,Private,4 Year,59675,59675,60500,108600,37,8,53916.77778,55122.22222,
1,Brown University,Rhode-Island,RI,Private,4 Year,70326,70326,68200,127600,45,43,53916.77778,55122.22222,
9,Rhode Island College,Rhode-Island,RI,Public,4 Year,20758,33521,71300,134100,49,78,53916.77778,55122.22222,
25,Columbia International University,South-Carolina,SC,Private,4 Year,31840,31840,36600,66200,62,0,36858.16667,48916.66667,
24,Benedict College,South-Carolina,SC,Private,4 Year,22800,22800,38100,67500,61,19,36858.16667,48916.66667,
21,Converse College,South-Carolina,SC,Private,4 Year,29620,29620,39000,71000,60,8,36858.16667,48916.66667,
17,Charleston Southern University,South-Carolina,SC,Private,4 Year,35700,35700,42800,76300,65,9,36858.16667,48916.66667,
20,Southern Wesleyan University,South-Carolina,SC,Private,4 Year,34506,34506,42900,78700,63,17,36858.16667,48916.66667,
12,Erskine College,South-Carolina,SC,Private,4 Year,45460,45460,43500,78000,57,28,36858.16667,48916.66667,
13,Coastal Carolina University,South-Carolina,SC,Public,4 Year,20726,35838,44700,77600,48,14,36858.16667,48916.66667,
16,Limestone College,South-Carolina,SC,Private,4 Year,35765,35765,44900,77600,60,5,36858.16667,48916.66667,
8,College of Charleston,South-Carolina,SC,Public,4 Year,24904,44086,47300,85100,44,20,36858.16667,48916.66667,
13,Francis Marion University,South-Carolina,SC,Public,4 Year,19108,29492,48300,82600,55,19,36858.16667,48916.66667,
11,Winthrop University,South-Carolina,SC,Public,4 Year,24902,39158,49700,86800,51,10,36858.16667,48916.66667,
4,Wofford College,South-Carolina,SC,Private,4 Year,56530,56530,52400,105400,61,22,36858.16667,48916.66667,
10,South Carolina State University,South-Carolina,SC,Public,4 Year,20950,31640,52700,98200,51,26,36858.16667,48916.66667,
15,Lander University,South-Carolina,SC,Public,4 Year,20800,30400,53300,101200,57,16,36858.16667,48916.66667,
2,Clemson University,South-Carolina,SC,Public,4 Year,25802,47556,57500,106700,50,39,36858.16667,48916.66667,
6,Presbyterian College,South-Carolina,SC,Private,4 Year,49140,49140,57800,99400,65,22,36858.16667,48916.66667,
19,Newberry College,South-Carolina,SC,Private,4 Year,37090,37090,63100,117700,42,18,36858.16667,48916.66667,
5,Medical University of South Carolina,South-Carolina,SC,Public,4 Year,26826,26826,65900,121800,71,2,36858.16667,48916.66667,
10,Black Hills State University,South-Dakota,SD,Public,4 Year,15711,18756,40400,72600,51,11,25731.2,49920,
9,Dakota Wesleyan University,South-Dakota,SD,Private,4 Year,34650,34650,41800,75700,52,10,25731.2,49920,
1,South Dakota School of Mines and Technology,South-Dakota,SD,Public,4 Year,18219,22461,44500,80800,71,16,25731.2,49920,
4,University of South Dakota,South-Dakota,SD,Public,4 Year,17277,20641,47700,86400,56,17,25731.2,49920,
3,Augustana University,South-Dakota,SD,Private,4 Year,41266,41266,47900,88400,54,18,25731.2,49920,
5,Dakota State University,South-Dakota,SD,Public,4 Year,16149,19122,48400,84300,49,53,25731.2,49920,
7,Northern State University,South-Dakota,SD,Public,4 Year,16527,19500,49000,87400,46,12,25731.2,49920,
6,University of Sioux Falls,South-Dakota,SD,Private,4 Year,25630,25630,56400,99700,42,12,25731.2,49920,
8,Mount Marty College,South-Dakota,SD,Private,4 Year,35262,35262,56600,99700,78,0,25731.2,49920,
2,South Dakota State University,South-Dakota,SD,Public,4 Year,16660,20024,66500,118500,58,92,25731.2,49920,
7,Loras College,Iowa,TN,Private,4 Year,44796,44796,47300,83300,54,9,39359.6,48245,
23,Carson-Newman University,Tennessee,TN,Private,4 Year,36710,36710,42700,76500,61,5,39359.6,48245,
11,Fisk University,Tennessee,TN,Private,4 Year,32270,32270,43000,80600,54,6,39359.6,48245,
22,East Tennessee State University,Tennessee,TN,Public,4 Year,17749,36931,43700,77300,57,8,39359.6,48245,
15,Middle Tennessee State University,Tennessee,TN,Public,4 Year,18642,37800,44000,79800,57,11,39359.6,48245,
20,Austin Peay State University,Tennessee,TN,Public,4 Year,19111,35167,44200,78200,63,10,39359.6,48245,
10,Southern Adventist University,Tennessee,TN,Private,4 Year,28890,28890,45000,80500,53,15,39359.6,48245,
16,Cumberland University,Tennessee,TN,Private,4 Year,32180,32180,45500,81000,61,3,39359.6,48245,
6,Tennessee Technological University,Tennessee,TN,Public,4 Year,18839,35495,47200,78400,68,14,39359.6,48245,
17,Belmont University,Tennessee,TN,Private,4 Year,46430,46430,47300,80900,47,3,39359.6,48245,
20,Freed-Hardeman University,Tennessee,TN,Private,4 Year,30210,30210,47800,85600,52,3,39359.6,48245,
14,Trevecca Nazarene University,Tennessee,TN,Private,4 Year,33998,33998,47900,85600,51,25,39359.6,48245,
19,Tennessee State University,Tennessee,TN,Public,4 Year,15814,29170,48700,90600,59,16,39359.6,48245,
4,Christian Brothers University,Tennessee,TN,Private,4 Year,40220,40220,51500,96500,60,14,39359.6,48245,
24,Maryville College,Tennessee,TN,Private,4 Year,46304,46304,52300,93100,44,15,39359.6,48245,
1,Vanderbilt University,Tennessee,TN,Private,4 Year,66050,66050,53300,98000,52,31,39359.6,48245,
8,University of Memphis,Tennessee,TN,Public,4 Year,19676,31388,54200,98200,49,17,39359.6,48245,
12,Union University,Tennessee,TN,Private,4 Year,43090,43090,54500,93500,61,30,39359.6,48245,
2,Rhodes College,Tennessee,TN,Private,4 Year,59293,59293,55500,100600,39,0,39359.6,48245,
1,Milwaukee School of Engineering,Wisconsin,TN,Private,4 Year,40800,40800,49300,88700,56,24,39359.6,48245,
18,LeTourneau University,Texas,TX,Private,4 Year,40180,40180,46400,86300,54,7,40807.83333,53638.88889,
25,Southwestern University,Texas,TX,Private,4 Year,54000,54000,47900,90800,58,5,40807.83333,53638.88889,
9,University of Houston,Texas,TX,Public,4 Year,22776,38226,48400,86300,69,3,40807.83333,53638.88889,
5,Southern Methodist University,Texas,TX,Private,4 Year,71338,71338,48500,83600,51,6,40807.83333,53638.88889,
17,Prairie View A&M University,Texas,TX,Public,4 Year,19458,33768,50800,90500,48,16,40807.83333,53638.88889,
1,Rice University,Texas,TX,Private,4 Year,61350,61350,51900,97800,46,25,40807.83333,53638.88889,
24,Amberton University,Texas,TX,Private,4 Year,12840,12840,52800,93600,57,0,40807.83333,53638.88889,
19,Texas Christian University,Texas,TX,Private,4 Year,59754,59754,53100,97500,63,53,40807.83333,53638.88889,
20,Texas A&M University-Kingsville,Texas,TX,Public,4 Year,17222,29672,53100,95100,48,28,40807.83333,53638.88889,
13,Lamar University,Texas,TX,Public,4 Year,19112,31562,55000,94100,83,0,40807.83333,53638.88889,
12,Baylor University,Texas,TX,Private,4 Year,58322,58322,55500,101400,49,16,40807.83333,53638.88889,
22,St. Mary's University,Texas,TX,Private,4 Year,40920,40920,55900,101200,NA,0,40807.83333,53638.88889,
7,Texas Tech University,Texas,TX,Public,4 Year,20575,33025,56000,98700,51,9,40807.83333,53638.88889,
23,University of Houston-Clear Lake,Texas,TX,Public,4 Year,8500,24731,56000,103900,50,24,40807.83333,53638.88889,
8,Texas Tech University Health Sciences Center,Texas,TX,Public,4 Year,7911,20361,56800,106500,54,22,40807.83333,53638.88889,
2,The King's University,Texas,TX,Private,4 Year,15000,15000,58200,101800,44,16,40807.83333,53638.88889,
21,University of Dallas,Texas,TX,Private,4 Year,53052,53052,59100,105200,48,24,40807.83333,53638.88889,
11,Trinity University,Texas,TX,Private,4 Year,56440,56440,60100,110900,49,22,40807.83333,53638.88889,
8,Southern Utah University,Utah,UT,Public,4 Year,13859,27675,40100,71000,76,13,23481.16667,56350,
6,Western Governors University,Utah,UT,Private,4 Year,6670,6670,51700,88100,50,6,23481.16667,56350,
7,Utah Valley University,Utah,UT,Public,4 Year,5726,16296,52400,93900,61,14,23481.16667,56350,
4,Utah State University,Utah,UT,Public,4 Year,13824,27905,54400,101800,42,40,23481.16667,56350,
2,University of Utah,Utah,UT,Public,4 Year,19484,39477,58700,107200,51,36,23481.16667,56350,
3,Weber State University,Utah,UT,Public,4 Year,12110,22864,80800,141800,NA,100,23481.16667,56350,
17,Louisiana College,Louisiana,VA,Public,4 Year,25086,41046,48000,90100,56,14,46016.63636,53481.81818,
14,Old Dominion University,Virginia,VA,Public,4 Year,22492,41392,43300,78700,58,1,46016.63636,53481.81818,
12,Marymount University,Virginia,VA,Private,4 Year,44656,44656,46200,79800,63,0,46016.63636,53481.81818,
10,University of Mary Washington,Virginia,VA,Public,4 Year,23306,38552,46400,79100,64,3,46016.63636,53481.81818,
6,Hampden-Sydney College,Virginia,VA,Private,4 Year,59304,59304,48100,90400,52,5,46016.63636,53481.81818,
20,Roanoke College,Virginia,VA,Private,4 Year,57720,57720,49500,85100,58,41,46016.63636,53481.81818,
2,Virginia Military Institute,Virginia,VA,Public,4 Year,28290,55134,49900,88200,52,18,46016.63636,53481.81818,
25,Ferrum College,Virginia,VA,Private,4 Year,45675,45675,50000,89300,50,8,46016.63636,53481.81818,
9,James Madison University,Virginia,VA,Public,4 Year,22108,38508,50100,90400,66,5,46016.63636,53481.81818,
17,Christopher Newport University,Virginia,VA,Public,4 Year,26214,38680,50800,87200,55,25,46016.63636,53481.81818,
8,George Mason University,Virginia,VA,Public,4 Year,23922,47382,51200,89600,52,8,46016.63636,53481.81818,
19,Randolph College,Virginia,VA,Private,4 Year,53165,53165,51600,95200,41,12,46016.63636,53481.81818,
7,University of Richmond,Virginia,VA,Private,4 Year,64860,64860,54500,99700,50,18,46016.63636,53481.81818,
1,Washington and Lee University,Virginia,VA,Private,4 Year,66380,66380,55600,97600,63,9,46016.63636,53481.81818,
22,Radford University,Virginia,VA,Public,4 Year,20616,32251,55900,97700,46,10,46016.63636,53481.81818,
18,Shenandoah University,Virginia,VA,Private,4 Year,42900,42900,57100,103800,45,8,46016.63636,53481.81818,
11,Jefferson College of Health Sciences,Virginia,VA,Private,4 Year,32756,32756,57400,102600,42,12,46016.63636,53481.81818,
13,Hampton University,Virginia,VA,Private,4 Year,38480,38480,58300,108600,52,20,46016.63636,53481.81818,
5,College of William and Mary,Virginia,VA,Public,4 Year,35636,56937,59000,108900,42,21,46016.63636,53481.81818,
24,Virginia State University,Virginia,VA,Public,4 Year,20264,30784,62700,114000,48,42,46016.63636,53481.81818,
16,Virginia Commonwealth University,Virginia,VA,Public,4 Year,24918,45566,65100,119500,41,23,46016.63636,53481.81818,
4,Virginia Polytechnic Institute and State University,Virginia,VA,Public,4 Year,22554,40238,65900,120600,68,47,46016.63636,53481.81818,
10,Goddard College,Vermont,VT,Private,4 Year,18284,18284,37400,67700,60,3,48296,50591.66667,
11,Castleton University,Vermont,VT,Public,4 Year,22912,38920,41700,76200,52,6,48296,50591.66667,
12,Green Mountain College,Vermont,VT,Private,4 Year,48724,48724,43500,76900,67,3,48296,50591.66667,
9,Southern Vermont College,Vermont,VT,Private,4 Year,36511,36511,46400,84400,65,7,48296,50591.66667,
1,Middlebury College,Vermont,VT,Private,4 Year,69980,69980,46500,81100,52,9,48296,50591.66667,
13,Lyndon State College,Vermont,VT,Public,4 Year,22672,35992,48200,85900,49,21,48296,50591.66667,
6,Bennington College,Vermont,VT,Private,4 Year,69970,69970,48800,90000,50,5,48296,50591.66667,
7,Champlain College,Vermont,VT,Private,4 Year,56364,56364,51100,88400,39,14,48296,50591.66667,
2,University of Vermont,Vermont,VT,Public,4 Year,30738,54978,54800,102600,57,22,48296,50591.66667,
4,Saint Michael's College,Vermont,VT,Private,4 Year,57595,57595,59900,110800,51,5,48296,50591.66667,
3,Norwich University,Vermont,VT,Private,4 Year,53856,53856,63400,115400,46,20,48296,50591.66667,
5,Vermont Technical College,Vermont,VT,Public,4 Year,25706,38378,65400,119100,48,23,48296,50591.66667,
24,Clark College,Washington,WA,Public,2 Year,4287,9718,43500,78400,NA,9,41727.42105,50115.78947,
10,Pacific Lutheran University,Washington,WA,Private,4 Year,52856,52856,44100,80200,58,18,41727.42105,50115.78947,
7,Whitman College,Washington,WA,Private,4 Year,64938,64938,44800,83400,57,5,41727.42105,50115.78947,
9,Western Washington University,Washington,WA,Public,4 Year,19598,35010,44800,81500,47,19,41727.42105,50115.78947,
16,Northwest University,Washington,WA,Private,4 Year,40170,40170,46200,80600,68,7,41727.42105,50115.78947,
6,Seattle Pacific University,Washington,WA,Private,4 Year,54735,54735,46800,80100,34,3,41727.42105,50115.78947,
25,Heritage University,Washington,WA,Private,4 Year,18124,18124,48100,90300,58,33,41727.42105,50115.78947,
22,Bastyr University,Washington,WA,Private,4 Year,33756,33756,48400,86300,NA,0,41727.42105,50115.78947,
21,Cornish College of the Arts,Washington,WA,Private,4 Year,54042,54042,49000,86400,39,0,41727.42105,50115.78947,
20,Eastern Washington University,Washington,WA,Public,4 Year,20116,37237,49500,87500,52,17,41727.42105,50115.78947,
4,Gonzaga University,Washington,WA,Private,4 Year,55154,55154,49800,86900,42,25,41727.42105,50115.78947,
18,Bellevue College,Washington,WA,Public,2 Year,4258,9689,50100,88500,56,14,41727.42105,50115.78947,
14,Central Washington University,Washington,WA,Public,4 Year,19187,34168,52700,93200,47,13,41727.42105,50115.78947,
5,Washington State University,Washington,WA,Public,4 Year,22979,37763,52800,93500,55,21,41727.42105,50115.78947,
1,Seattle University,Washington,WA,Private,4 Year,56898,56898,53600,103400,52,9,41727.42105,50115.78947,
15,Saint Martin's University,Washington,WA,Private,4 Year,48801,48801,54200,95300,56,13,41727.42105,50115.78947,
17,Whitworth University,Washington,WA,Private,4 Year,55136,55136,54600,102600,53,33,41727.42105,50115.78947,
8,University of Puget Sound,Washington,WA,Private,4 Year,62316,62316,58500,104900,52,28,41727.42105,50115.78947,
11,Walla Walla University,Washington,WA,Private,4 Year,32310,32310,60700,114800,44,13,41727.42105,50115.78947,
20,Wisconsin Lutheran College,Wisconsin,WI,Private,4 Year,39915,39915,44300,79700,49,9,36591.14286,49923.80952,
22,Viterbo University,Wisconsin,WI,Private,4 Year,37030,37030,44900,81800,61,14,36591.14286,49923.80952,
16,Carroll University,Wisconsin,WI,Private,4 Year,41402,41402,45600,86500,49,14,36591.14286,49923.80952,
4,University of Wisconsin-Platteville,Wisconsin,WI,Public,4 Year,15151,23001,46000,81400,47,17,36591.14286,49923.80952,
7,University of Wisconsin-Eau Claire,Wisconsin,WI,Public,4 Year,16633,24909,46700,82700,51,9,36591.14286,49923.80952,
20,Cardinal Stritch University,Wisconsin,WI,Private,4 Year,38438,38438,47000,82500,51,2,36591.14286,49923.80952,
11,University of Wisconsin-Stout,Wisconsin,WI,Public,4 Year,16381,24347,47100,81300,52,14,36591.14286,49923.80952,
17,Beloit College,Wisconsin,WI,Private,4 Year,58870,58870,47400,85700,59,24,36591.14286,49923.80952,
24,University of Wisconsin-Parkside,Wisconsin,WI,Public,4 Year,15555,23544,47700,84300,52,10,36591.14286,49923.80952,
18,Carthage College,Wisconsin,WI,Private,4 Year,55540,55540,48900,85400,48,17,36591.14286,49923.80952,
15,Edgewood College,Wisconsin,WI,Private,4 Year,40520,40520,49500,87500,54,5,36591.14286,49923.80952,
3,University of Wisconsin-Madison,Wisconsin,WI,Public,4 Year,21669,47919,49600,88300,53,19,36591.14286,49923.80952,
12,University of Wisconsin-Whitewater,Wisconsin,WI,Public,4 Year,14478,23051,50400,89500,47,14,36591.14286,49923.80952,
19,University of Wisconsin-Oshkosh,Wisconsin,WI,Public,4 Year,16268,23841,50600,90300,50,17,36591.14286,49923.80952,
2,Marquette University,Wisconsin,WI,Private,4 Year,54590,54590,51200,94300,57,45,36591.14286,49923.80952,
10,Ripon College,Wisconsin,WI,Private,4 Year,52208,52208,51600,99000,47,5,36591.14286,49923.80952,
14,University of Wisconsin-La Crosse,Wisconsin,WI,Public,4 Year,15437,24255,52100,93600,46,14,36591.14286,49923.80952,
6,Bellin College,Wisconsin,WI,Private,4 Year,22178,22178,55800,97600,94,0,36591.14286,49923.80952,
25,University of Wisconsin-River Falls,Wisconsin,WI,Public,4 Year,14375,21948,56800,100300,50,38,36591.14286,49923.80952,
9,University of Wisconsin-Milwaukee,Wisconsin,WI,Public,4 Year,21812,33092,57300,104400,48,33,36591.14286,49923.80952,
5,Lawrence University,Wisconsin,WI,Private,4 Year,57816,57816,57900,108400,49,60,36591.14286,49923.80952,
1,West Virginia University Institute of Technology,West-Virginia,WV,Public,4 Year,18854,30038,36700,65200,67,3,29529.67,41866.67,
13,Concord University,West-Virginia,WV,Public,4 Year,16884,26308,41700,75800,53,9,29529.67,41866.67,
2,West Virginia University,West-Virginia,WV,Public,4 Year,19774,35868,41800,76000,46,8,29529.67,41866.67,
12,West Virginia State University,West-Virginia,WV,Public,4 Year,20059,27964,42500,77000,51,6,29529.67,41866.67,
15,Bluefield State College,West-Virginia,WV,Public,4 Year,8820,16920,43200,72800,60,3,29529.67,41866.67,
8,University of Charleston,West-Virginia,WV,Private,4 Year,40080,40080,45300,82900,56,8,29529.67,41866.67,
4,Shepherd University,West-Virginia,WV,Public,4 Year,18048,28548,48700,86600,57,7,29529.67,41866.67,
14,Fairmont State University,West-Virginia,WV,Public,4 Year,16518,25328,53700,98500,42,6,29529.67,41866.67,
16,Ohio Valley University,West-Virginia,WV,Private,4 Year,29880,29880,54400,103900,49,22,29529.67,41866.67,
18,West Virginia University at Parkersburg,West-Virginia,WV,Public,2 Year,6330,10920,54400,99900,52,22,29529.67,41866.67,
7,Wheeling Jesuit University,West-Virginia,WV,Private,4 Year,39190,39190,55000,99300,45,16,29529.67,41866.67,
5,West Virginia Wesleyan College,West-Virginia,WV,Private,4 Year,40496,40496,57100,103700,56,40,29529.67,41866.67,
9,Marshall University,West-Virginia,WV,Public,4 Year,18578,29064,57800,105900,52,25,29529.67,41866.67,
17,Glenville State College,West-Virginia,WV,Public,4 Year,7327,16565,58400,109300,39,24,29529.67,41866.67,
10,West Liberty University,West-Virginia,WV,Public,4 Year,17136,25076,61600,117000,53,21,29529.67,41866.67,
1,University of Wyoming,Wyoming,WY,Public,4 Year,15720,27810,48900,89300,44,8,27810,27810,
