rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,average_in,average_out,average_early,average_mid
1,Albany College of Pharmacy and Health Sciences,New-York,NY,Private,4 Year,46025,46025,81000,144800,82,2,59148,60216.33333,67438.88889,124483.3333
3,California Institute of Technology,California,CA,Private,4 Year,67887,67887,84100,151600,53,97,59333.53846,60064.61538,67746.15385,124146.1538
10,Amherst College,Massachusetts,MA,Private,4 Year,71166,71166,63800,116500,45,32,61842.40909,62586.86364,62609.09091,114281.8182
5,Bucknell University,Pennsylvania,PA,Private,4 Year,69754,69754,66700,122900,40,40,62044.05263,62044.05263,61436.84211,113457.8947
24,Amberton University,Texas,TX,Private,4 Year,12840,12840,52800,93600,57,0,35166.47059,40801.23529,56711.76471,102941.1765
6,Bradley University,Illinois,IL,Private,4 Year,44380,44380,55600,104900,46,38,44194.1,46259.6,55545,100825
1,Brown University,Rhode-Island,RI,Private,4 Year,70326,70326,68200,127600,45,43,50640.44444,53916.77778,55822.22222,100744.4444
23,Bloomfield College,New-Jersey,NJ,Private,4 Year,41500,41500,48400,89100,55,17,39308.05263,43899.10526,54847.36842,100400
1,University of Wyoming,Wyoming,WY,Public,4 Year,15720,27810,52400,98800,58,25,15720,27810,52400,98800
18,Albertus Magnus College,Connecticut,CT,Private,4 Year,45260,45260,49700,85900,62,2,47129.66667,51033.44444,54538.88889,98483.33333
3,Alaska Pacific University,Alaska,AK,Private,4 Year,28130,28130,50300,90000,67,6,21678.33333,32458.33333,55133.33333,97600
25,Ferrum College,Virginia,VA,Private,4 Year,45675,45675,43000,80600,54,6,36422.81818,46016.63636,53718.18182,96559.09091
10,Centenary College of Louisiana,Louisiana,LA,Private,4 Year,49980,49980,47000,88400,37,26,39625.07692,42511.03846,52623.07692,96357.69231
7,Butler University,Indiana,IN,Private,4 Year,54950,54950,51800,99300,53,9,47186.36842,48624.15789,52684.21053,95789.47368
3,Carroll College,Montana,MT,Private,4 Year,45366,45366,48200,91400,55,25,29199,37346.75,52275,95775
1,Sierra Nevada College,Nevada,NV,Private,4 Year,47598,47598,54000,95500,39,2,47598,47598,54000,95500
22,Bastyr University,Washington,WA,Private,4 Year,33756,33756,48400,86300,NA,0,37876.89474,41727.42105,52010.52632,94263.15789
7,Albion College,Michigan,MI,Private,4 Year,58155,58155,52100,99300,44,23,34725.86364,38666.77273,51695.45455,93463.63636
6,Western Governors University,Utah,UT,Private,4 Year,6670,6670,54500,91500,57,9,11945.5,23481.16667,52183.33333,92833.33333
,,Average,,,,,,,,,,36583.37052,40937.43802,50991.87328,92162.67218
22,St. Mary's University,Texas,NM,Private,4 Year,66266,66266,52900,95300,61,17,28132,34896.25,49925,91550
12,Augsburg University,Minnesota,MN,Private,4 Year,49080,49080,50500,91000,52,11,43564.5,45690.3,50390,91470
17,Colorado Christian University,Colorado,CO,Private,4 Year,43712,43712,46800,80100,70,2,30291.64286,39578.42857,50907.14286,91407.14286
6,Bellin College,Wisconsin,WI,Private,4 Year,22178,22178,55800,97600,94,0,32609.27273,37252.36364,50681.81818,91100
21,Corban University,Oregon,OR,Private,4 Year,43268,43268,42500,77300,63,1,37759.68421,45019.36842,50463.15789,90763.15789
14,Adventist University of Health Sciences,Florida,FL,Private,4 Year,19350,19350,51600,89800,88,5,35528.66667,42760.94444,50250,90455.55556
9,Colby-Sawyer College,New-Hampshire,NH,Private,4 Year,56662,56662,46400,83700,43,7,40097.58333,42950.41667,50408.33333,89775
24,Barton College,North-Carolina,NC,Private,4 Year,41000,41000,42400,77900,62,6,37564.2381,41459.33333,49480.95238,88961.90476
6,Bennington College,Vermont,VT,Private,4 Year,69970,69970,48800,90000,50,5,42776,48296,48883.33333,88433.33333
1,Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,12146,12146,51700,93900,57,12,27343,34341.4,48980,88040
2,Brigham Young University-Idaho,Idaho,ID,Private,4 Year,8710,8710,53700,93500,59,14,18227.5,28536.83333,49666.66667,87933.33333
5,Allen College,Iowa,IA,Private,4 Year,27252,27252,51600,91300,NA,0,39027.21739,41154.26087,48386.95652,87160.86957
17,Avila University,Missouri,MO,Private,4 Year,27100,27100,45900,81200,68,3,30102.75,33353.4375,48350,86331.25
14,Agnes Scott College,Georgia,GA,Private,4 Year,53490,53490,46000,83600,57,26,32171.52174,39132.13043,48308.69565,86321.73913
2,Goldey-Beacom College,Delaware,DE,Private,4 Year,30700,30700,49800,86900,42,25,25326.6,31259.8,49040,85620
3,Bates College,Maine,ME,Private,4 Year,69018,69018,59500,111900,50,23,35395.64706,40241.64706,47594.11765,85429.41176
3,Augustana University,South-Dakota,SD,Private,4 Year,41266,41266,47900,88400,54,18,23735.1,25731.2,47110,85170
15,Appalachian State University,North-Carolina,TN,Private,4 Year,23600,23600,46600,82700,47,9,34032,38609.14286,47333.33333,84566.66667
10,Baker University,Kansas,KS,Private,4 Year,38240,38240,47800,84200,55,2,29123.16667,33972.83333,46822.22222,84550
10,Bellevue University,Nebraska,NE,Private,4 Year,18120,18120,49400,84800,57,23,27327.36364,29389.18182,46790.90909,83036.36364
24,Benedict College,South-Carolina,SC,Private,4 Year,22800,22800,38100,67500,61,19,31606.05882,36657,45317.64706,81852.94118
21,Mid-America Christian University,Oklahoma,OK,Private,4 Year,26370,26370,40700,74100,71,0,23775.33333,28234.44444,45111.11111,81261.11111
3,University of Jamestown,North-Dakota,ND,Private,4 Year,29546,29546,47600,85400,64,11,18391.42857,22265.14286,46042.85714,80814.28571
24,Amridge University,Alabama,AL,Private,4 Year,6900,6900,35700,65900,NA,0,23918.36364,29861.5,44304.54545,80481.81818
5,Arizona Christian University,Arizona,AZ,Private,4 Year,37470,37470,42600,76600,NA,7,24825.08333,30696.83333,44658.33333,80120.83333
16,Ohio Valley University,West-Virginia,WV,Private,4 Year,29880,29880,38800,71100,81,1,21198.26667,28149.66667,44333.33333,80040
18,Central Baptist College,Arkansas,AR,Private,4 Year,23700,23700,36900,68000,NA,3,24684.875,28629.1875,44375,79562.5
20,Asbury University,Kentucky,KY,Private,4 Year,37358,37358,39400,70800,59,4,32190.29167,36316.45833,43754.16667,79012.5
7,Belhaven University,Mississippi,MS,Private,4 Year,33800,33800,41200,74300,60,2,21584.35714,24711.64286,42042.85714,75707.14286
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
