rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Color,tuition_increase,salary_increase,position
23,Hamilton College,New-York,NY,Private,4 Year,68490,68490,62600,108100,45,25,#4169E1,100%,58%,
14,Hamline University,Minnesota,MN,Private,4 Year,51656,51656,48100,90400,52,5,#4169E1,100%,53%,
6,Hampden-Sydney College,Virginia,VA,Private,4 Year,59304,59304,58300,108600,52,20,#4169E1,100%,54%,
13,Hampton University,Virginia,VA,Private,4 Year,38480,38480,52700,92600,61,12,#4169E1,100%,57%,
18,Hanover College,Indiana,IN,Private,4 Year,49250,49250,47500,85100,53,24,#4169E1,100%,56%,
4,Harding University,Arkansas,AR,Private,4 Year,27179,27179,49200,88600,47,10,#4169E1,100%,56%,
1,Harvey Mudd College,California,CA,Private,4 Year,75003,75003,88800,158200,55,85,#4169E1,100%,56%,
8,Hastings College,Nebraska,NE,Private,4 Year,39750,39750,48600,87100,55,14,#4169E1,100%,56%,
10,Haverford College,Pennsylvania,PA,Private,4 Year,70994,70994,59300,112300,47,36,#4169E1,100%,53%,
2,Hawaii Pacific University,Hawaii,HI,Private,4 Year,40780,40780,52200,93500,56,15,#4169E1,100%,56%,
10,Henderson State University,Arkansas,AR,Public,4 Year,15940,17590,42900,79800,57,5,#CD853F,91%,54%,
2,Hendrix College,Arkansas,AR,Private,4 Year,58074,58074,48100,90300,58,33,#4169E1,100%,53%,
25,Heritage University,Washington,WA,Private,4 Year,18124,18124,41100,73600,NA,17,#4169E1,100%,56%,
12,High Point University,North-Carolina,NC,Private,4 Year,49248,49248,48600,84300,50,8,#4169E1,100%,58%,
18,Hofstra University,New-York,NY,Private,4 Year,62708,62708,57300,110400,38,7,#4169E1,100%,52%,
15,Holy Cross College,Indiana,IN,Private,4 Year,42320,42320,48100,87800,NA,0,#4169E1,100%,55%,
25,Hood College,Maryland,MD,Private,4 Year,52192,52192,47900,82600,49,32,#4169E1,100%,58%,
14,Hope College,Michigan,MI,Private,4 Year,44320,44320,49200,90900,51,18,#4169E1,100%,54%,
14,Huntingdon College,Alabama,AL,Private,4 Year,37150,37150,42400,78900,69,14,#4169E1,100%,54%,
10,Husson University,Maine,ME,Private,4 Year,28010,28010,43300,77600,52,1,#4169E1,100%,56%,
3,Idaho State University,Idaho,ID,Public,4 Year,14627,30147,50800,91800,64,12,#CD853F,49%,55%,
1,Illinois Institute of Technology,Illinois,IL,Private,4 Year,60058,60058,64600,118500,47,64,#4169E1,100%,55%,
16,Illinois State University,Illinois,IL,Public,4 Year,24366,35890,51200,95000,47,10,#CD853F,68%,54%,
12,Illinois Wesleyan University,Illinois,IL,Private,4 Year,58620,58620,53100,96000,44,18,#4169E1,100%,55%,
19,Indiana Institute of Technology,Indiana,IN,Private,4 Year,36920,36920,50000,84900,46,11,#4169E1,100%,59%,
17,Indiana State University,Indiana,IN,Public,4 Year,19680,30426,47900,85600,55,8,#CD853F,65%,56%,
1,Iowa State University,Iowa,IA,Public,4 Year,17708,32112,56100,101300,48,31,#CD853F,55%,55%,
6,Jackson State University,Mississippi,MS,Public,4 Year,17778,29006,41700,74600,67,16,#CD853F,61%,56%,
12,Jacksonville State University,Alabama,AL,Public,4 Year,18525,28245,43800,80000,61,7,#CD853F,66%,55%,
12,Jacksonville University,Florida,FL,Private,4 Year,50750,50750,50100,90400,66,5,#4169E1,100%,55%,
9,James Madison University,Virginia,VA,Public,4 Year,22108,38508,57400,102600,42,12,#CD853F,57%,56%,
11,Jefferson College of Health Sciences,Virginia,VA,Private,4 Year,32756,32756,55500,97600,86,1,#4169E1,100%,57%,
5,John Brown University,Arkansas,AR,Private,4 Year,36152,36152,47000,82700,53,9,#4169E1,100%,57%,
11,John Carroll University,Ohio,OH,Private,4 Year,53214,53214,51600,97300,39,16,#4169E1,100%,53%,
18,John Wesley University,North-Carolina,NC,Private,4 Year,16930,16930,45100,82100,NA,0,#4169E1,100%,55%,
3,Johns Hopkins University,Maryland,MD,Private,4 Year,70076,70076,67200,117100,57,31,#4169E1,100%,57%,
23,Judson College,Alabama,AL,Private,4 Year,29100,29100,37900,67600,65,13,#4169E1,100%,56%,
8,Kalamazoo College,Michigan,MI,Private,4 Year,58272,58272,51600,94500,52,31,#4169E1,100%,55%,
22,Kansas City Art Institute,Missouri,MO,Private,4 Year,48800,48800,42500,77700,37,0,#4169E1,100%,55%,
2,Kansas State University,Kansas,KS,Public,4 Year,19943,35447,52500,97200,51,18,#CD853F,56%,54%,
15,Kansas Wesleyan University,Kansas,KS,Private,4 Year,39000,39000,44700,79400,61,10,#4169E1,100%,56%,
22,Kean University,New-Jersey,NJ,Public,4 Year,26818,33853,48200,90000,51,10,#CD853F,79%,54%,
10,Keene State College,New-Hampshire,NH,Public,4 Year,25238,34202,48900,83600,49,8,#CD853F,74%,58%,
5,Kennesaw State University,Georgia,GA,Public,4 Year,18899,32625,52500,94600,46,22,#CD853F,58%,55%,
22,Kentucky Christian University,Kentucky,KY,Private,4 Year,28090,28090,39600,70300,68,3,#4169E1,100%,56%,
18,Kentucky State University,Kentucky,KY,Public,4 Year,14780,26080,40700,73100,57,13,#CD853F,57%,56%,
14,Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,36204,36204,42100,76800,65,14,#4169E1,100%,55%,
7,Kenyon College,Ohio,OH,Private,4 Year,68440,68440,55000,103800,50,17,#4169E1,100%,53%,
14,Kettering College,Ohio,OH,Private,4 Year,20300,20300,54300,95800,NA,0,#4169E1,100%,57%,
1,Kettering University,Michigan,MI,Private,4 Year,51730,51730,69900,125000,44,74,#4169E1,100%,56%,
15,Knox College,Illinois,IL,Private,4 Year,56424,56424,50600,95400,45,24,#4169E1,100%,53%,
15,La Salle University,Pennsylvania,PA,Private,4 Year,45640,45640,55800,104800,40,5,#4169E1,100%,53%,
6,Lafayette College,Pennsylvania,PA,Private,4 Year,68520,68520,66500,122500,37,47,#4169E1,100%,54%,
9,Lake Forest College,Illinois,IL,Private,4 Year,57454,57454,55400,102600,46,21,#4169E1,100%,54%,
24,Lake Superior State University,Michigan,MI,Public,4 Year,21972,21972,45900,83500,48,14,#CD853F,100%,55%,
18,Lakeview College of Nursing,Illinois,IL,Private,4 Year,16320,16320,55000,94100,83,0,#4169E1,100%,58%,
13,Lamar University,Texas,TX,Public,4 Year,19112,31562,53300,101200,57,16,#CD853F,61%,53%,
15,Lander University,South-Carolina,SC,Public,4 Year,20800,30400,42600,77100,54,9,#CD853F,68%,55%,
11,Langston University,Oklahoma,OK,Public,4 Year,15426,22776,46500,81500,66,8,#CD853F,68%,57%,
4,Lawrence Technological University,Michigan,MI,Private,4 Year,43520,43520,57900,108400,49,60,#4169E1,100%,53%,
5,Lawrence University,Wisconsin,WI,Private,4 Year,57816,57816,51500,98800,58,25,#4169E1,100%,52%,
2,Lehigh University,Pennsylvania,PA,Private,4 Year,66530,66530,69500,134100,45,52,#4169E1,100%,52%,
10,Lenoir-Rhyne University,North-Carolina,NC,Private,4 Year,48910,48910,46400,86300,54,7,#4169E1,100%,54%,
18,LeTourneau University,Texas,TX,Private,4 Year,40180,40180,56600,98900,53,21,#4169E1,100%,57%,
